year,metric,category,value,units,source,yoy_change_pct,moving_avg_3yr
2001,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,
2002,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,
2003,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,
2004,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,
2005,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,
2006,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,
2007,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,
2008,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,
2008,Electricity Generation (GWh),Onshore wind energy,6.0,GWh,IRENA,,6.0
2009,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,6.0
2009,Electricity Generation (GWh),Onshore wind energy,6.0,GWh,IRENA,,6.0
2010,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,6.0
2010,Electricity Generation (GWh),Onshore wind energy,6.0,GWh,IRENA,,6.0
2011,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,6.0
2011,Electricity Generation (GWh),Onshore wind energy,6.0,GWh,IRENA,,6.0
2012,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,6.0
2012,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,3.136
2012,Electricity Generation (GWh),Onshore wind energy,6.0,GWh,IRENA,2105.882352941176,3.136
2013,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,3.136
2013,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,3.136
2013,Electricity Generation (GWh),Onshore wind energy,134.5,GWh,IRENA,49348.529411764706,67.386
2014,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,67.386
2014,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,67.386
2014,Electricity Generation (GWh),Onshore wind energy,363.0,GWh,IRENA,133355.88235294117,181.636
2015,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,181.636
2015,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,181.636
2015,Electricity Generation (GWh),Onshore wind energy,621.5,GWh,IRENA,228392.64705882352,310.88599999999997
2016,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,310.88599999999997
2016,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,310.88599999999997
2016,Electricity Generation (GWh),Onshore wind energy,1060.0,GWh,IRENA,389605.88235294115,530.136
2017,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,530.136
2017,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,530.136
2017,Electricity Generation (GWh),Onshore wind energy,1728.5,GWh,IRENA,635377.9411764705,864.386
2018,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,864.386
2018,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,864.386
2018,Electricity Generation (GWh),Onshore wind energy,2642.0,GWh,IRENA,971223.5294117647,1321.136
2019,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,1321.136
2019,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,1321.136
2019,Electricity Generation (GWh),Onshore wind energy,2812.0,GWh,IRENA,1033723.5294117647,1406.136
2020,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,1406.136
2020,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,1406.136
2020,Electricity Generation (GWh),Onshore wind energy,2503.5,GWh,IRENA,920304.4117647058,1251.886
2021,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,1251.886
2021,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,1251.886
2021,Electricity Generation (GWh),Onshore wind energy,3480.5,GWh,IRENA,1279495.588235294,1740.386
2022,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,1740.386
2022,Electricity Generation (GWh),Onshore wind energy,0.272,GWh,IRENA,,1740.386
2022,Electricity Generation (GWh),Onshore wind energy,4244.0,GWh,IRENA,1560194.1176470588,2122.136
2023,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,2122.136
2023,Electricity Generation (GWh),Onshore wind energy,,GWh,IRENA,,4244.0
2000,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,
2000,Electricity Generation (GWh),Renewable hydropower,2.174,GWh,IRENA,,2.174
2000,Electricity Generation (GWh),Renewable hydropower,18273.5,GWh,IRENA,840447.3781048759,9137.837
2001,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,9137.837
2001,Electricity Generation (GWh),Renewable hydropower,2.102,GWh,IRENA,,9137.801
2001,Electricity Generation (GWh),Renewable hydropower,18157.5,GWh,IRENA,863720.1712654616,9079.801
2002,Electricity Generation (GWh),Renewable hydropower,,GWh,IRENA,,9079.801
2002,Electricity Generation (GWh),Renewable hydropower,2.396,GWh,IRENA,,9079.948
2002,Electricity Generation (GWh),Renewable hydropower,20703.0,GWh,IRENA,863965.1085141903,10352.698
